clean_sentence,dyslexic_sentence,error_type
කඩේට ගිහින් පාන් ගෙනාවා.,කඩෙට ගිහින් පාන් ගෙනව.,grammar
දුෂ්කර ගමනක්,දුශකර ගමනක්,unknown
තමුසේ බලු විදියට ඇවිල්ල මෝඩයා ඉන්නවා.,තමුසෙ බලු විඩියෙට ඇවිල්ල මොඩය ඉන්නඩව.,phonetic confusion
කඩේට ගිහිල්ලා එන්න.,කඩෙට ගිහිල්ල එන්න.,phonetic_confusion
කෑම කන්න යන්නේ නෑ,කෑම කන්න යන්නෙ නෑ,grammar
පොත මේසය උඩ තියෙනවා,පොත මේසේස උඩ තියනව,Grammar
මේ රස්සාව ඕනෙ නෑ.,මෙ රස්සාව ඔනෙ නෑ.,grammar
වහිනවා එතකොට,වහිනවා එතකොට,no_error
අද හොඳට වහිනවා.,අද ඩොහොදට වහිනව.,visual_reversal
අපි යන්න,අපි යනෙ,Phonetic Confusion
බයියා හරි සන්තෝසයි,බයියා හරි සන්තෝසයි,visual_scrambling
බූදලයක් ලැබිල තියෙන්නේ.,බූදලයක් ලැබිල තියෙන්නේ.,phonetic
පුතාල තමයි,පුතාල තමයී,grammar
මං එහෙම හිතුවේ නැහැ.,මං එහෙම හිතුවෙ නෑ,Grammar
හෙට ඉස්කෝලෙ තියෙනවා,හෙට ඉස්කෝලෙ ඳෙනව,phonetic_confusion
ගණන් හදන්න මට අමාරුයි,ගණන් හදන්න මට අමාරුයි,no_error
අද ඉස්කෝලෙට යන්නෙ නෑ.,අද ඉස්කොලෙට යන්නෙ නෑ.,Phonetic Confusion
අද බෝඩ වැටෙනවා.,අද ඩොඩා වැටෙනවා.,Visual Reversal
බයික් එක ගනින්.,බය්ක් එක ගනිං.,grammar
අද අපො කඩේට,අද ඔපො කඩේට,visual_reversal
කඩේට ගිය ඕනි.,කඩෙට ගිය ඔනි.,phonetic
කිරි බිබී හිටියා.,කිරි බිබී හිටියා.,no_error
පණ්ඩිත,පංඩිට,phonetic confusion
ඔෆිස් යන්න ඕන,ඔෆිස් යන්න ඕඩ,Phonetic Confusion
මම නංගිට කිව්වා,මම නංගිට කිව්වා,no_error
ගඟ ගලාගෙන යනවා.,ගඟ ගලාගෙන යනවා.,no_error
උන් උඩ බලනවා.,උන් උඩ බලනව,Spelling
මම කන්න බොන්න දෙන්නම්.,මං කන්න බොන්න දෙන්නම්.,Phonetic Confusion
එයාලා එනවා කිව්වා.,එයාල එනව කිව්ව,Spelling
මෙය හරිම ලස්සන තැනක්.,මෙය හරිම ලස්සණ තැනක්.,phonetic_confusion
එයා ගියාද දන්නෙ නෑ.,එයා ගියාද දන්නෙ නැ,Spelling
අක්කා මට බැනලා.,අක්ක මට බැනල,Spelling
කන්න දෙන්න.,කන්න දෙන්න.,unknown
දුන්න මට පොත,දුන මට පොට,phonetic confusion
කඩේට ලියන්න යනවා,කඩෙට ලියන්න යනව,spoken vs written
එයාලා එද්දී මම එන්නම්,එයාල එද්ඩී මම එන්නම්,unknown
ගොනා වත්තේ තණකොළ කනවා,ගොනා වත්තෙ තනකොල කනවා,phonetic
සින්දු කීයක් ඕනෙද,සින්දු කීයක් ඔනෙද,grammar
උගුරේ අමාරුව,උගුරෙ අමාර,grammar
පාසලට යනවා.,පඩසලට යනව.,Phonetic Confusion
වැඩ ඉවර කරනවා.,වැඩ ඉවරකරනව,Spelling
පාරෙ බල්ලෙක් ඉන්නවා.,පාරෙ බල්ලෙක් ඉන්නවා,unknown
ගහ උඩ කුරුල්ලෝ ටිකක් ඉන්නවා.,ගහ උඩ කුරුල්ලො ටිකක් ඉන්නවා.,unknown
ගැනඳුරු.,ගැනන්දුරු,Visual Scrambling
ඒ වගේම මට බඩගිනියි.,අනික මට බඩගිනියි.,Phonetic Confusion
ගුරුවරයා ඉගැන්නුවා.,ගුරුවරය ඉගැන්නුවා,Spelling
පළමුව අනතුර වුනේ බස් ඩ්‍රයිවර්,පලමුව අනතුර වුනේ බස් ඩරයිව,unknown
පොළේට යනවා,පොලේ ට යනව,grammar
පැනලා දාලා යන්න එපා.,පැන දාල යන්න එපා,Spelling
දොඩම් ගෙඩිය හරියට හදන්න ඕනේ.,ගඩන්ඩරය හරිගස්සන්න ඔනේ.,visual_scrambling
මට අද නිදහසයි,මට අද නිදහස්,grammar
අද සන්ධ්‍යා වහිනවා.,අද සන්දයා වහිනව,Phonetic (N/N)
පුටුවේ වාඩිවෙන්න.,පුටුවෙ වාඩිවෙන්න,Grammar
පොඩි ළමයින්ට ආදරය කරන්න,පොඩි ලමයින්ට ආදරය කරන්ඩ,phonetic confusion
පොඩි එකා නිදාගන්නවා.,පොඩි එකා නිදා ගන්නව,grammar
ඔයාට කතා කළේ,ඔයාට කතා කලෙ,unknown
පූසා බළලා,පූස බළල,grammar
පුතාල තමයි,පුතාල තමයි,no_error
එයා ගියා කියලා මට කිව්වා,එයා ගියා කියල මට කිව්ව,unknown
පොත මේසේ උඩ තියෙනවනේද.,පොත මේසෙ උඩ තියෙනවනෙඩ.,phonetic
අක්කා නටනවා.,අක්ක නටනව.,phonetic
අද රෑ තියෙනවා.,අද රතී තියෙනව,Visual Scrambling
අක්කා මට කතා කරනවා,අක්කා මට කතා කරනවා,no_error
පොත මේසෙ උඩ තියෙනවා.,පොත මේසෙ උඩ තියෙනවා.,no_error
අද ගොඩක් වැසි.,අද ගොඩක් වසි,Spelling
අද හඳ ලස්සනයි.,අද හඳ ලස්සනයි,unknown
ගඟ කොහෙද තියෙන්නෙ?,ගානව කොහෙද තියෙන්නෙ,Phonetic (G/K)
දුරකථනය නාද වෙනවා.,දුරකතනය නාදවෙනව,Spoken vs Written
උඩ බලන්න.,උඩ බල්න්ඩ.,Phonetic Confusion
ආප්ප කන්න මම කඩේට යන්න ඕන.,අාප්ප කන්න මම රොඩට යන්න ඕන.,visual_reversal
ගාණට එපා.,ගානව එපා,Phonetic (N/N)
පොල් ලීවා,පොල් ලීව,phonetic confusion
හෙට ඔබ කොහෙද යන්නේ,හෙට ඔබ කොහෙද යන්නේ,no_error
දහනව,බහනව,බ/ඩ
ගෙදර ගිහින්,ගෙඩ ගිහින,visual
එයත් එක්ක කතාකරන්න ඕන.,එයත් එක්ක කතාකරන්න ඔන,Spelling
එයා කළේ බලලෙක් ඇති කරලා,එයා කලේ බලල්ෙක් ඇති කරලා,ල/ළ
දෙනවද,දෙනවාද,grammar
පාරෙ සෙනඟ ගොඩක්.,පාරෙ සෙනඟ ගොඩක්,unknown
උගුර රද වෙනවා,උගුර රඩවෙනව,visual scrambling
මට සින්දු කියන්න ආසයි.,මට සින්දු කිියන්න ආසයි.,Visual Scrambling
බැරිය,බයිර,visual_scrambling
ඒකට ගියා.,ඒකට ගියා.,unknown
පාඩම් කරන්න,පඩම් කරන්ඩ,phonetic_confusion
රතු පාට මල්.,රත පාට මල්,Phonetic (Th/Th)
හෙට ඉස්කෝලේ යන්න ඕනෙ.,හෙට ඉස්කෝලේ යන්න ඕනෙ.,no_error
මම එනකන් ඉන්න,මම එනකන් ඉන්ඩ,phonetic
මම කන්න දෙන්නම්.,මම කන්න දෙන්නම්,unknown
බල්ලා වත්තේ දුවනවා.,බල්ලා වත්තෙ දුවනව.,grammar
අම්මා කෑම හැදුවා.,අම්මා කෑම හැදුවා.,unknown
එයා කිව්වා එන්නම් කියලා.,එයා කිව්ව එන්නම් කියල,Grammar
මම පොතක් ගත්තා.,මම පොතක් ගත්තා,unknown
කඩේට ගියේ බත් කන්න.,කඩේට ගියෙ බත් කන්ඩ,Spelling
ගෙදර යන්නවා,ගෙදර ටකන්ඩව,spoken vs written
කඩේට ගියාද?,කඩේට ගියා බෑ,Contextual
මට සින්දු කීමට ලිය.,මට සින්දු කීමට ලියි.,Phonetic Confusion
මට බඩගිනියි,මට බඩ ඩගිනියි,Visual Reversal
පූසෙක් ගෙට ඇතුලට ගියා.,පූස ක් ගෙට ඇතුලට ගියා.,Visual Scrambling
මට දුකයි මගේ යාලුවා ගියාම.,දුකයි මට මගෙ යාලුයා ගියාව.,Grammar Examples
ගංගා නදිය ලංකාවේත් තියෙනවා.,ගංගා නදිය ලංකාවේත් තියෙනවා.,no_error
පූසා මීයා අල්ලනවා.,පූස මීයා අල්ලනව,Spelling
සතා ගස් යට හිටගන්නවා.,සතා ගස් යට හිටගන්නව,Spelling
